gene_symbol	score	rank	method	disease
SP1	0.00037498081685372	366	rwr	BC
CRK	0.000374921770692949	367	rwr	BC
BPIFA1	0.000373231099945271	368	rwr	BC
GAPDH	0.000372859677317901	369	rwr	BC
CUL4A	0.000371549890743145	370	rwr	BC
MECP2	0.000370009269324687	371	rwr	BC
AP2B1	0.000369714765357205	372	rwr	BC
FIGNL1	0.000367265202855523	373	rwr	BC
FAS	0.000365391206394528	374	rwr	BC
PLEC	0.000365350638704021	375	rwr	BC
EFTUD2	0.000365025920074959	376	rwr	BC
RFWD3	0.000364643485200553	377	rwr	BC
HSPD1	0.00036461129037238	378	rwr	BC
MCM7	0.000363081586930604	379	rwr	BC
CDKN1A	0.000362829753779947	380	rwr	BC
TRIM37	0.000362548912151312	381	rwr	BC
RAD51AP1	0.000361092154483478	382	rwr	BC
TNFRSF10A	0.000360176033277253	383	rwr	BC
APP	0.000359693270767982	384	rwr	BC
KRT18	0.000358541705712476	385	rwr	BC
LGALS3	0.000357706672484501	386	rwr	BC
POLA1	0.000357530479639484	387	rwr	BC
RPL31	0.000357335170739967	388	rwr	BC
COPS8	0.000357226076044107	389	rwr	BC
GFOD1	0.000356975189764093	390	rwr	BC
DNAJA2	0.000356555058855479	391	rwr	BC
POLR2H	0.000355926465312026	392	rwr	BC
TUBA1A	0.000351150309183275	393	rwr	BC
HNRNPD	0.000350824300761118	394	rwr	BC
TFRC	0.000350109547841509	395	rwr	BC
DES	0.000349905882296994	396	rwr	BC
WWOX	0.000349775339359189	397	rwr	BC
DYNC1LI1	0.000349460125749534	398	rwr	BC
SERBP1	0.000349207743296727	399	rwr	BC
MAPK1	0.000349157318512056	400	rwr	BC
TOPORS	0.000348080319353126	401	rwr	BC
MAP2K3	0.000348053845541873	402	rwr	BC
PYCARD	0.000348002323510157	403	rwr	BC
RICTOR	0.000347496061870439	404	rwr	BC
MAP3K7	0.000346868799974674	405	rwr	BC
LIPH	0.000346215275382032	406	rwr	BC
STRADA	0.000345965962903034	407	rwr	BC
EEF2	0.000345541826971056	408	rwr	BC
VRK1	0.000345347511842168	409	rwr	BC
BMI1	0.00034527545191061	410	rwr	BC
IGF1R	0.000345158989251177	411	rwr	BC
PDGFRB	0.000344499749368065	412	rwr	BC
FBL	0.000344474349386591	413	rwr	BC
DDX5	0.000344260862476653	414	rwr	BC
BSG	0.000343521823009235	415	rwr	BC
BID	0.000343457149557062	416	rwr	BC
PABPC1	0.000342183021872295	417	rwr	BC
CSTF2	0.000342132537728889	418	rwr	BC
MTOR	0.000341892837486737	419	rwr	BC
STAT1	0.000340801242802545	420	rwr	BC
RPL13	0.000340576351037208	421	rwr	BC
STRADB	0.00034016210021602	422	rwr	BC
KPNB1	0.000337857733612061	423	rwr	BC
TNFSF10	0.000337293527383063	424	rwr	BC
CAPZB	0.000336012287214658	425	rwr	BC
MUC1	0.000334850691433004	426	rwr	BC
CASP10	0.000334763052924926	427	rwr	BC
HDAC3	0.000333334117794827	428	rwr	BC
HSPB1	0.000332858092526535	429	rwr	BC
BECN1	0.000332547598612432	430	rwr	BC
TOP1	0.000331861659815758	431	rwr	BC
RBM4	0.000331660311375248	432	rwr	BC
PRPF8	0.000331071026113874	433	rwr	BC
TERF1	0.000330104826513052	434	rwr	BC
SFN	0.000329550155535618	435	rwr	BC
SMC3	0.000328507139373527	436	rwr	BC
RAD52	0.000328295887152706	437	rwr	BC
FBXO5	0.000327878105952383	438	rwr	BC
DAXX	0.000327462985363662	439	rwr	BC
LIMD1	0.0003273399674013	440	rwr	BC
ENO1	0.000325973363628379	441	rwr	BC
GIT1	0.000325813581625049	442	rwr	BC
PLA2G10	0.000324588888273485	443	rwr	BC
PRDX6	0.000323951192898102	444	rwr	BC
CDC5L	0.000323367659895914	445	rwr	BC
ITCH	0.000323062889891548	446	rwr	BC
VCL	0.000322842631231497	447	rwr	BC
CASP9	0.000322458132628666	448	rwr	BC
NABP2	0.000322102713650784	449	rwr	BC
PRKCZ	0.000321848829131598	450	rwr	BC
ROCK2	0.000321638565290783	451	rwr	BC
HNRNPH1	0.000320848872343031	452	rwr	BC
CSTF1	0.000320275180622723	453	rwr	BC
DYNC1LI2	0.00032015249667321	454	rwr	BC
RIPK3	0.000319575059145912	455	rwr	BC
DYNLL2	0.000319330032388463	456	rwr	BC
HSPB8	0.000319187393834731	457	rwr	BC
MND1	0.000317692651825382	458	rwr	BC
HNRNPA2B1	0.000317325823001388	459	rwr	BC
RNF4	0.000317295658802837	460	rwr	BC
CD274	0.000316411872281289	461	rwr	BC
G3BP1	0.000316299460265722	462	rwr	BC
SDC2	0.00031605354022732	463	rwr	BC
USP9X	0.000316017074723024	464	rwr	BC
DYRK1A	0.000315341413790934	465	rwr	BC
HECTD3	0.000314485640637295	466	rwr	BC
ZC3H11A	0.000313627721111433	467	rwr	BC
HMG20B	0.000313618472581972	468	rwr	BC
MYH14	0.000313339035889467	469	rwr	BC
TRRAP	0.000313143005058295	470	rwr	BC
SMAD2	0.000313081071866513	471	rwr	BC
CASP7	0.00031291890628336	472	rwr	BC
MYO6	0.00031243040225704	473	rwr	BC
SSRP1	0.000312279491142579	474	rwr	BC
LGALS8	0.000312118446806449	475	rwr	BC
SMARCC1	0.000312030193118408	476	rwr	BC
CASP2	0.000311193065388322	477	rwr	BC
RAB11A	0.000311077698414339	478	rwr	BC
SERPINB5	0.000310745514391827	479	rwr	BC
MMS22L	0.000310643218468641	480	rwr	BC
MATR3	0.000310527237987557	481	rwr	BC
PPP2CA	0.000310085115331766	482	rwr	BC
ZSWIM7	0.000309592502920573	483	rwr	BC
ARID2	0.000308787537676526	484	rwr	BC
TRADD	0.000308113598742503	485	rwr	BC
