gene_symbol	z_score	raw_pvalue	rwr_score	rwr_rank	adj_pvalue_bh	significant
STIP1	0.299394293470031	0.38231960787702357	0.0003909170537213	345	0.9462365527300982	False
H2AC11	0.29879204028063194	0.38254936230385467	2.17463879280606e-05	4376	0.9462365527300982	False
EOGT	0.298194765928518	0.3827772581835206	1.75579158915076e-05	4870	0.9462365527300982	False
HDAC1	0.2976338432557928	0.38299132068730846	0.0014282679900536	56	0.9462365527300982	False
KLRK1	0.29758573831950114	0.38300968043183414	4.40595482815605e-06	7511	0.9462365527300982	False
WAS	0.29704838444217957	0.3832147849318086	0.0001237064030386	1188	0.9462365527300982	False
KLHL15	0.29704494912221685	0.38321609627660763	5.39262955332536e-05	2361	0.9462365527300982	False
ACP5	0.29704494912219775	0.3832160962766149	1.35088830194045e-06	8725	0.9462365527300982	False
COMMD5	0.2965136594572798	0.383418918502168	1.97705794075426e-05	4600	0.9462365527300982	False
COMMD7	0.2965136594572798	0.383418918502168	2.07042343012699e-05	4484	0.9462365527300982	False
RHPN1	0.29598067661137395	0.38362241921410123	4.78531013870299e-05	2574	0.9462365527300982	False
JUN	0.2949516981452132	0.3840153891465765	0.000464485947282	270	0.9462365527300982	False
THRB	0.29471034327126916	0.38410758057468364	8.57786913046344e-05	1643	0.9462365527300982	False
C1ORF198	0.29434538274517147	0.3842469986744969	1.8055096462241e-05	4812	0.9462365527300982	False
CCAR2	0.2929054772886753	0.3847972010557631	0.0001578325086802	958	0.9462365527300982	False
CD55	0.29159651735929276	0.3852975692583585	2.99073971459581e-06	8009	0.9462365527300982	False
CCDC50	0.29153615998970267	0.38532064631848495	2.57988911631627e-05	3950	0.9462365527300982	False
CDKN2AIP	0.2913999652980583	0.3853727205416055	3.48128113327015e-05	3274	0.9462365527300982	False
ARFGAP2	0.2913685104307599	0.38538474764614017	7.05165909085931e-06	6760	0.9462365527300982	False
MMP3	0.2913374463221447	0.3853966254481008	5.54676441746353e-06	7177	0.9462365527300982	False
HOPX	0.290735557954867	0.3856267871979323	8.67933138253933e-06	6374	0.9462365527300982	False
CNKSR3	0.29066247995570127	0.3856547349245614	9.34255973193529e-06	6234	0.9462365527300982	False
TEX11	0.29047768152437264	0.3857254113201727	2.80588396040381e-05	3763	0.9462365527300982	False
CARM1	0.2904430307606885	0.38573866397137085	0.0001635806465324	927	0.9462365527300982	False
COMMD9	0.29015115672808595	0.385850300417653	2.011596182451e-05	4557	0.9462365527300982	False
LTN1	0.2894876359994419	0.386104120049361	9.90245193985687e-05	1446	0.9462365527300982	False
