Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,module_id,module_size
Reactome_2022,RNA Polymerase II Transcription R-HSA-73857,17/1312,4.3675732813107273e-08,3.339080218292395e-07,0,0,6.442796179638285,109.1826728060537,BARD1;BLM;CSTF2;BRCA1;MLH1;BRIP1;RAD50;FANCD2;CSTF1;RBBP8;NABP2;PMS2;ATM;TP53;ZNF597;ZNF200;ZNF398,0,55
Reactome_2022,Gene Expression (Transcription) R-HSA-74160,17/1449,1.8390539367266081e-07,1.3620493218881438e-06,0,0,5.783611437812408,89.69712972253016,BARD1;BLM;CSTF2;BRCA1;MLH1;BRIP1;RAD50;FANCD2;CSTF1;RBBP8;NABP2;PMS2;ATM;TP53;ZNF597;ZNF200;ZNF398,0,55
Reactome_2022,Diseases Of Mismatch Repair (MMR) R-HSA-5423599,3/5,1.9600286618898578e-07,1.407656948084534e-06,0,0,575.2788461538462,8885.26033570936,MSH6;PMS2;MLH1,0,55
Reactome_2022,Nonhomologous End-Joining (NHEJ) R-HSA-5693571,5/51,2.785234801503351e-07,1.9414724939891007e-06,0,0,43.25869565217391,652.9365202723219,BARD1;RAD50;ATM;BRCA1;TP53BP1,0,55
Reactome_2022,Generic Transcription Pathway R-HSA-212436,14/1190,2.817232546281217e-06,1.9076688956247102e-05,0,0,5.449767711962834,69.64669900750417,BARD1;BLM;BRCA1;MLH1;BRIP1;RAD50;FANCD2;RBBP8;PMS2;ATM;TP53;ZNF597;ZNF200;ZNF398,0,55
Reactome_2022,Mismatch Repair (MMR) Directed By MSH2:MSH6 (MutSalpha) R-HSA-5358565,3/14,7.010638301606187e-06,4.61533688189074e-05,0,0,104.54895104895104,1240.795503696715,MSH6;PMS2;MLH1,0,55
Reactome_2022,Mismatch Repair R-HSA-5358508,3/15,8.746245348728185e-06,5.60232472337454e-05,0,0,95.83173076923076,1116.1412485011324,MSH6;PMS2;MLH1,0,55
Reactome_2022,DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586,4/61,2.3772412915880933e-05,0.0001482647858174679,0,0,27.365669074647403,291.3618618796708,RAD50;ATM;TERF2;TP53,0,55
Reactome_2022,Cellular Senescence R-HSA-2559583,5/165,8.965867039610275e-05,0.0005448488431763168,0,0,12.365625,115.24145020964662,CDKN2D;RAD50;ATM;TERF2;TP53,0,55
Reactome_2022,Sensing Of DNA Double Strand Breaks R-HSA-5693548,2/6,0.00011059129575543732,0.0006552534273509661,0,0,188.122641509434,1713.7350279504103,RAD50;ATM,0,55
Reactome_2022,CDC6 Association With ORC:origin Complex R-HSA-68689,2/8,0.0002057099035637798,0.001189103588893,0,0,125.40251572327044,1064.547425630908,ORC4;MCM8,0,55
Reactome_2022,E2F-enabled Inhibition Of Pre-Replication Complex Formation R-HSA-113507,2/9,0.0002640178919425577,0.0014898152473901,0,0,107.48247978436656,885.6012133889432,ORC4;MCM8,0,55
Reactome_2022,TP53 Regulates Transcription Of Caspase Activators And Caspases R-HSA-6803207,2/12,0.0004814776145385075,0.0025934135146733,0,0,75.22641509433963,574.6283172633098,ATM;TP53,0,55
Reactome_2022,HDR Thru MMEJ (alt-NHEJ) R-HSA-5685939,2/12,0.0004814776145385075,0.0025934135146733,0,0,75.22641509433963,574.6283172633098,RAD50;RBBP8,0,55
Reactome_2022,Mismatch Repair (MMR) Directed By MSH2:MSH3 (MutSbeta) R-HSA-5358606,2/14,0.0006615177095993661,0.0034839932705566,0,0,62.68238993710692,458.8961346318759,PMS2;MLH1,0,55
Reactome_2022,SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232,4/168,0.00117359353186,0.0059596410086537,0,0,9.460066953610712,63.83355039207859,BLM;BRCA1;TP53BP1;TP53,0,55
Reactome_2022,Processive Synthesis On C-strand Of Telomere R-HSA-174414,2/19,0.0012321620650803,0.0059596410086537,0,0,44.23529411764706,296.3315662879716,BLM;TERF2,0,55
Reactome_2022,Regulation Of TP53 Activity Thru Methylation R-HSA-6804760,2/19,0.0012321620650803,0.0059596410086537,0,0,44.23529411764706,296.3315662879716,ATM;TP53,0,55
Reactome_2022,SUMOylation Of Transcription Factors R-HSA-3232118,2/19,0.0012321620650803,0.0059596410086537,0,0,44.23529411764706,296.3315662879716,TP53BP1;TP53,0,55
Reactome_2022,SUMOylation R-HSA-2990846,4/174,0.0013357970017878,0.0062288089127037,0,0,9.123414071510958,60.38082680166087,BLM;BRCA1;TP53BP1;TP53,0,55
Reactome_2022,TP53 Regulates Transcription Of Genes Involved In Cytochrome C Release R-HSA-6803204,2/20,0.0013666584956143,0.0062288089127037,0,0,41.77568134171908,275.5267677897696,ATM;TP53,0,55
Reactome_2022,Processing Of Intronless Pre-mRNAs R-HSA-77595,2/20,0.0013666584956143,0.0062288089127037,0,0,41.77568134171908,275.5267677897696,CSTF2;CSTF1,0,55
Reactome_2022,E2F Mediated Regulation Of DNA Replication R-HSA-113510,2/22,0.0016557246776615,0.0074039009170901,0,0,37.59433962264151,240.73597386560573,ORC4;MCM8,0,55
Reactome_2022,Processing Of Capped Intronless Pre-mRNA R-HSA-75067,2/29,0.0028744209090306,0.0126155139896344,0,0,27.83787561146052,162.90457697750804,CSTF2;CSTF1,0,55
