Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	G2/M Checkpoints R-HSA-69481	11/148	2.263103e-13	1.582019e-11	0	0	3.614599e+01	1.052458e+03	BARD1;ORC4;BLM;BRIP1;RAD50;MCM8;RBBP8;ATM;BRCA1;TP53BP1;TP53
Reactome_2022	Impaired BRCA2 Binding To PALB2 R-HSA-9709603	7/24	2.670074e-13	1.582019e-11	0	0	1.709510e+02	4.949287e+03	BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1
Reactome_2022	Defective HDR Thru Homologous Recombination (HRR) Due To BRCA1 Loss-Of-Function R-HSA-9701192	7/25	3.700677e-13	1.754121e-11	0	0	1.614456e+02	4.621395e+03	BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1
Reactome_2022	G2/M DNA Damage Checkpoint R-HSA-69473	9/77	6.322392e-13	2.304969e-11	0	0	5.719086e+01	1.606463e+03	BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1;TP53BP1;TP53
Reactome_2022	Resolution Of D-loop Structures Thru Synthesis-Dependent Strand Annealing (SDSA) R-HSA-5693554	7/27	6.807926e-13	2.304969e-11	0	0	1.452865e+02	4.070275e+03	BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1
Reactome_2022	Resolution Of D-loop Structures Thru Holliday Junction Intermediates R-HSA-5693568	7/33	3.234146e-12	9.581158e-11	0	0	1.117252e+02	2.955941e+03	BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1
Reactome_2022	Resolution Of D-Loop Structures R-HSA-5693537	7/34	4.064094e-12	1.070211e-10	0	0	1.075818e+02	2.821745e+03	BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1
Reactome_2022	Impaired BRCA2 Binding To RAD51 R-HSA-9709570	7/35	5.069470e-12	1.201464e-10	0	0	1.037344e+02	2.697901e+03	BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1
Reactome_2022	HDR Thru Single Strand Annealing (SSA) R-HSA-5685938	7/37	7.729028e-12	1.665254e-10	0	0	9.680903e+01	2.476959e+03	BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1
Reactome_2022	Presynaptic Phase Of Homologous DNA Pairing And Strand Exchange R-HSA-5693616	7/40	1.390826e-11	2.746881e-10	0	0	8.799495e+01	2.199745e+03	BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1
Reactome_2022	Defective Homologous Recombination Repair (HRR) Due To BRCA2 Loss Of Function R-HSA-9701190	7/41	1.673655e-11	3.051202e-10	0	0	8.540257e+01	2.119130e+03	BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1
Reactome_2022	Homologous DNA Pairing And Strand Exchange R-HSA-5693579	7/43	2.388853e-11	4.043988e-10	0	0	8.064988e+01	1.972504e+03	BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1
Reactome_2022	Processing Of DNA Double-Strand Break Ends R-HSA-5693607	8/80	4.786511e-11	7.562688e-10	0	0	4.698109e+01	1.116394e+03	BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1;TP53BP1
