Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,module,n_genes_in_module
Reactome_2022,ERBB2 Regulates Cell Motility R-HSA-6785631,2/15,0.0022051992386726,0.0284553069607399,0,0,33.26588628762542,203.48534452549944,ERBB2;MEMO1,0,94
Reactome_2022,Intrinsic Pathway For Apoptosis R-HSA-109606,3/55,0.0022101209289895,0.0284553069607399,0,0,12.58706677937447,76.96623851074759,CASP8;CDKN2A;AKT1,0,94
KEGG_2021_Human,Chagas disease,3/102,0.0123468147388916,0.0291799799134848,0,0,6.595737595737596,28.98402676264153,CASP8;PIK3CA;AKT1,0,94
KEGG_2021_Human,T cell receptor signaling pathway,3/104,0.0130074918246096,0.0291799799134848,0,0,6.464476117941464,28.07024079748959,PIK3CA;AKT1;KRAS,0,94
KEGG_2021_Human,Toll-like receptor signaling pathway,3/104,0.0130074918246096,0.0291799799134848,0,0,6.464476117941464,28.07024079748959,CASP8;PIK3CA;AKT1,0,94
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,4/193,0.0130644415629218,0.0291799799134848,0,0,4.636566725455614,20.112782546752232,CASP8;PIK3CA;AKT1;KRAS,0,94
KEGG_2021_Human,Aldosterone-regulated sodium reabsorption,2/37,0.0130806806508724,0.0291799799134848,0,0,12.34223602484472,53.52357397384211,PIK3CA;KRAS,0,94
Reactome_2022,PI3K Events In ERBB2 Signaling R-HSA-1963642,2/16,0.0025125351090035,0.0313686201487716,0,0,30.888198757763973,184.91105998724296,PIK3CA;ERBB2,0,94
KEGG_2021_Human,Insulin resistance,3/108,0.0143886102814093,0.0316113407697629,0,0,6.216954474097332,26.368083017799812,PIK3CA;PTEN;AKT1,0,94
KEGG_2021_Human,HIF-1 signaling pathway,3/109,0.0147463969835594,0.0319017550502477,0,0,6.157992950445781,25.966756790503847,PIK3CA;ERBB2;AKT1,0,94
KEGG_2021_Human,Focal adhesion,4/201,0.0149608230580471,0.0319017550502477,0,0,4.446474901297236,18.6855116998099,PIK3CA;ERBB2;PTEN;AKT1,0,94
KEGG_2021_Human,Epstein-Barr virus infection,4/202,0.015209445219638,0.0319618776354713,0,0,4.423793490460157,18.51728576352671,CASP8;PIK3CA;MDM2;AKT1,0,94
KEGG_2021_Human,Diabetic cardiomyopathy,4/203,0.0154606682118396,0.0320256698673821,0,0,4.401340033500838,18.35119367575024,PARP1;PIK3CA;PTEN;AKT1,0,94
KEGG_2021_Human,TNF signaling pathway,3/112,0.0158499091285711,0.0323695327273635,0,0,5.987599556406896,24.816154298071133,CASP8;PIK3CA;AKT1,0,94
KEGG_2021_Human,Cholinergic synapse,3/113,0.0162278218184324,0.0326810300510097,0,0,5.932867132867133,24.449512248697037,PIK3CA;AKT1;KRAS,0,94
KEGG_2021_Human,Human immunodeficiency virus 1 infection,4/212,0.0178400433653924,0.0354357025750945,0,0,4.208974358974359,16.94663437713683,CASP8;PIK3CA;AKT1;KRAS,0,94
KEGG_2021_Human,Lipid and atherosclerosis,4/215,0.0186811129772189,0.0366048835364424,0,0,4.148499210110584,16.512031899597922,CASP8;PIK3CA;AKT1;KRAS,0,94
KEGG_2021_Human,cAMP signaling pathway,4/216,0.0189668595176198,0.0366692617340649,0,0,4.128721174004193,16.370635677917264,PIK3CA;RRAS;AKT1;RRAS2,0,94
Reactome_2022,Regulation Of NF-kappa B Signaling R-HSA-9758274,2/18,0.0031839656312373,0.0374798240019938,0,0,27.02445652173913,155.3805666396376,CASP8;N4BP1,0,94
Reactome_2022,Synthesis Of Glycosylphosphatidylinositol (GPI) R-HSA-162710,2/18,0.0031839656312373,0.0374798240019938,0,0,27.02445652173913,155.3805666396376,PIGM;PIGX,0,94
Reactome_2022,SUMOylation Of Transcription Factors R-HSA-3232118,2/19,0.0035476988486272,0.0385698376205167,0,0,25.433503836317136,143.48199529383507,CDKN2A;MDM2,0,94
Reactome_2022,Regulation Of RAS By GAPs R-HSA-5658442,3/65,0.0035574122077175,0.0385698376205167,0,0,10.551577454803262,59.49741094135293,SPRED2;SPRED1;NF1,0,94
Reactome_2022,FOXO-mediated Transcription R-HSA-9614085,3/65,0.0035574122077175,0.0385698376205167,0,0,10.551577454803262,59.49741094135293,MAP4K2;STK11;AKT1,0,94
KEGG_2021_Human,Carbohydrate digestion and absorption,2/47,0.0205981683745742,0.0392991370304377,0,0,9.594685990338164,37.25187803675723,PIK3CA;AKT1,0,94
Reactome_2022,Regulation Of PTEN Stability And Activity R-HSA-8948751,3/67,0.0038752460334452,0.0404776798370042,0,0,10.22081043956044,56.75765389386097,PTEN;AKT1;FRK,0,94
Reactome_2022,Regulation Of Gene Expression In Beta Cells R-HSA-210745,2/20,0.0039298718288353,0.0404776798370042,0,0,24.019323671497585,133.04659989721253,MAP4K2;AKT1,0,94
KEGG_2021_Human,Relaxin signaling pathway,3/129,0.0229641510378868,0.0432441805258908,0,0,5.175300889586604,19.53065881378396,PIK3CA;AKT1;KRAS,0,94
Reactome_2022,RNA Polymerase III Transcription Termination R-HSA-73980,2/22,0.0047488278796684,0.0467784002545177,0,0,21.61521739130435,115.63833187122069,NFIX;NFIB,0,94
Reactome_2022,RHO GTPase Cycle R-HSA-9012999,7/441,0.0047686718706061,0.0467784002545177,0,0,3.6099369670003703,19.297594727825107,SLC4A7;CCDC88A;PIK3CA;WDR6;RRAS2;ARHGEF18;FRS3,0,94
Reactome_2022,PI-3K cascade:FGFR2 R-HSA-5654695,2/23,0.0051852594222442,0.0474172284481491,0,0,20.58488612836439,108.3163411335794,PIK3CA;FGFR2,0,94
Reactome_2022,CD28 Dependent PI3K/Akt Signaling R-HSA-389357,2/23,0.0051852594222442,0.0474172284481491,0,0,20.58488612836439,108.3163411335794,PIK3CA;AKT1,0,94
Reactome_2022,Signaling By NTRK2 (TRKB) R-HSA-9006115,2/23,0.0051852594222442,0.0474172284481491,0,0,20.58488612836439,108.3163411335794,PIK3CA;FRS3,0,94
Reactome_2022,Sema4D In Semaphorin Signaling R-HSA-400685,2/24,0.005639427655241,0.0474172284481491,0,0,19.64822134387352,101.73795368654676,RRAS;ERBB2,0,94
Reactome_2022,Downstream Signaling Of Activated FGFR3 R-HSA-5654708,2/24,0.005639427655241,0.0474172284481491,0,0,19.64822134387352,101.73795368654676,PIK3CA;FRS3,0,94
Reactome_2022,Signaling By ERBB2 KD Mutants R-HSA-9664565,2/24,0.005639427655241,0.0474172284481491,0,0,19.64822134387352,101.73795368654676,PIK3CA;ERBB2,0,94
Reactome_2022,FRS-mediated FGFR2 Signaling R-HSA-5654700,2/24,0.005639427655241,0.0474172284481491,0,0,19.64822134387352,101.73795368654676,FRS3;FGFR2,0,94
Reactome_2022,Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530,3/78,0.0059300087034862,0.0488632717167266,0,0,8.716923076923077,44.69802446737536,PIK3CA;ERBB2;FGFR2,0,94
KEGG_2021_Human,Estrogen signaling pathway,3/137,0.0268209417325327,0.0492283107749019,0,0,4.864359521075939,17.602036565118887,PIK3CA;AKT1;KRAS,0,94
KEGG_2021_Human,Insulin signaling pathway,3/137,0.0268209417325327,0.0492283107749019,0,0,4.864359521075939,17.602036565118887,PIK3CA;AKT1;KRAS,0,94
Reactome_2022,Signaling By ERBB2 In Cancer R-HSA-1227990,2/25,0.0061111598513641,0.0493685854659225,0,0,18.793005671077506,95.79995291250644,PIK3CA;ERBB2,0,94
