Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,module_id,module_size
Reactome_2022,Downstream Signal Transduction R-HSA-186763,2/28,0.0005558250949695229,0.003676996782106,0,0,66.7190635451505,500.0631769582249,PDGFRA;PIK3CA,3,25
Reactome_2022,Downregulation Of ERBB2 Signaling R-HSA-8863795,2/29,0.0005965405735475059,0.0037430287027731,0,0,64.24476650563606,476.9764866217298,ERBB2;MATK,3,25
Reactome_2022,MAPK Family Signaling Cascades R-HSA-5683057,4/318,0.0006093302539398179,0.0037430287027731,0,0,11.926599939338791,88.29441011011174,PDGFRA;PIK3CA;ERBB2;TEK,3,25
Reactome_2022,Downstream Signaling Of Activated FGFR1 R-HSA-5654687,2/30,0.0006386616282018391,0.0037879241396798,0,0,61.9472049689441,455.6920507677008,PIK3CA;FLRT1,3,25
Reactome_2022,GPVI-mediated Activation Cascade R-HSA-114604,2/32,0.0007271072968375054,0.0041687485018683,0,0,57.81159420289855,417.7718146342518,PIK3CA;PIK3R3,3,25
Reactome_2022,CD28 Co-Stimulation R-HSA-389356,2/34,0.0008211358169873277,0.0045559793716716,0,0,54.192934782608695,385.0311571015381,PIK3CA;PIK3R3,3,25
Reactome_2022,RET Signaling R-HSA-8853659,2/40,0.0011364569536468,0.0061084561258519,0,0,45.62242562929062,309.3127366723546,PIK3CA;PIK3R3,3,25
Reactome_2022,Interleukin-2 Family Signaling R-HSA-451927,2/44,0.0013741073416157,0.0069513665517031,0,0,41.26915113871635,271.9616823625152,PIK3CA;PIK3R3,3,25
Reactome_2022,"Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988",2/44,0.0013741073416157,0.0069513665517031,0,0,41.26915113871635,271.9616823625152,PIK3CA;PIK3R3,3,25
Reactome_2022,Signaling By FGFR1 R-HSA-5654736,2/49,0.0017016730877234,0.0082269649373579,0,0,36.869565217391305,235.0856328071935,PIK3CA;FLRT1,3,25
Reactome_2022,Developmental Biology R-HSA-1266738,6/1073,0.0017262605833842,0.0082269649373579,0,0,5.596014403393676,35.600711686066695,PIK3CA;ERBB2;PIK3R3;PKP4;CTNNA2;PIP5K1C,3,25
Reactome_2022,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,4/424,0.0017697540853618,0.0082269649373579,0,0,8.868480725623582,56.19880567176528,PDGFRA;PIK3CA;ERBB2;PIK3R3,3,25
Reactome_2022,Signaling By PDGF R-HSA-186797,2/52,0.001914326921873,0.0086648481726884,0,0,34.65217391304348,216.8667907992902,PDGFRA;PIK3CA,3,25
Reactome_2022,Phospholipid Metabolism R-HSA-1483257,3/208,0.0021539026493579,0.0093999295835736,0,0,13.150776053215075,80.75199707418692,PIK3CA;PIK3R3;PIP5K1C,3,25
Reactome_2022,Signaling By Interleukins R-HSA-449147,4/453,0.0022523340781748,0.0093999295835736,0,0,8.283381058436738,50.49373678035897,CSF1R;PIK3CA;IL20RA;PIK3R3,3,25
Reactome_2022,G Alpha (Q) Signaling Events R-HSA-416476,3/212,0.0022737041111089,0.0093999295835736,0,0,12.896476729012614,78.49240679092375,RGS17;PIK3CA;PIK3R3,3,25
Reactome_2022,Signaling By ERBB4 R-HSA-1236394,2/57,0.0022953316425005,0.0093999295835736,0,0,31.49407114624506,191.3856261696762,PIK3CA;ADAP1,3,25
Reactome_2022,Signaling By MET R-HSA-6806834,2/63,0.0027959111229246,0.0111836444916984,0,0,28.38774055595153,166.90848108900067,PIK3CA;TNS3,3,25
Reactome_2022,Semaphorin Interactions R-HSA-373755,2/64,0.0028838973905792,0.0112734170722641,0,0,27.928471248246844,163.34280993179652,ERBB2;PIP5K1C,3,25
Reactome_2022,Costimulation By CD28 Family R-HSA-388841,2/68,0.0032487464098998,0.012417430722284,0,0,26.23056653491436,150.2876657557229,PIK3CA;PIK3R3,3,25
