Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Signaling By WNT R-HSA-195721	1/294	7.522472e-01	7.690467e-01	0	0	7.197695e-01	2.049114e-01	AKT1
Reactome_2022	Hemostasis R-HSA-109582	2/576	7.578528e-01	7.725896e-01	0	0	7.321618e-01	2.030037e-01	PIK3CA;AKT1
Reactome_2022	Metabolism R-HSA-1430728	8/2049	7.594631e-01	7.725896e-01	0	0	8.142383e-01	2.240325e-01	MAP4K2;STK11;EGFL7;PIK3CA;PTEN;AKT1;TNFAIP8L2;PRSS58
Reactome_2022	DNA Repair R-HSA-73894	1/310	7.705011e-01	7.818878e-01	0	0	6.819431e-01	1.777923e-01	PARP1
Reactome_2022	Infectious Disease R-HSA-5663205	3/961	8.357839e-01	8.460515e-01	0	0	6.520452e-01	1.169672e-01	ZBP1;PARP1;AKT1
Reactome_2022	Neuronal System R-HSA-112316	1/386	8.405847e-01	8.488257e-01	0	0	5.452032e-01	9.467865e-02	MDM2
Reactome_2022	Membrane Trafficking R-HSA-199991	1/599	9.430203e-01	9.499373e-01	0	0	3.471788e-01	2.036810e-02	AKT1
Reactome_2022	Vesicle-mediated Transport R-HSA-5653656	1/637	9.526312e-01	9.572781e-01	0	0	3.257929e-01	1.580991e-02	AKT1
Reactome_2022	Metabolism Of RNA R-HSA-8953854	1/666	9.588698e-01	9.612028e-01	0	0	3.111165e-01	1.306688e-02	AKT1
Reactome_2022	Transport Of Small Molecules R-HSA-382551	1/706	9.661613e-01	9.661613e-01	0	0	2.928544e-01	1.008137e-02	SLC4A7
