nodeA	nodeB	weight	sources
RAD50	RBBP8	1.0	BioGRID
RAD50	TERF2	1.0	BioGRID
RAD50	TP53	1.0	BioGRID
RAD50	TP53BP1	1.0	BioGRID
RAD51	RAD51AP1	1.0	BioGRID+IntAct
RAD51	RAD51C	1.0	BioGRID
RAD51	RAD52	1.0	BioGRID+IntAct
RAD51	RFWD3	1.0	BioGRID
RAD51	RNASEH2A	1.0	BioGRID
RAD51	SNX32	0.53	IntAct
RAD51	SPIDR	1.0	BioGRID
RAD51	SWSAP1	1.0	BioGRID
RAD51	TP53	1.0	BioGRID
RAD51	TP53BP1	1.0	BioGRID
RAD51	XRCC2	1.0	BioGRID
RAD51	XRCC3	1.0	BioGRID
RAD51C	RAD51D	1.0	BioGRID
RAD51C	SPACA1	0.53	IntAct
RAD51C	SWSAP1	1.0	BioGRID
RAD51C	XRCC2	1.0	BioGRID+IntAct
RAD51C	XRCC3	1.0	BioGRID
RAD51D	RNF138	1.0	BioGRID
RAD51D	SWSAP1	1.0	BioGRID
RAD51D	XRCC2	1.0	BioGRID+IntAct
RFWD3	TP53	1.0	BioGRID
RGS17	SLC39A7	0.56	IntAct
RMI1	TOP3A	1.0	BioGRID+IntAct
RNF168	TP53BP1	1.0	BioGRID+IntAct
SPACA1	TATDN2	0.53	IntAct
STK11	STRADA	1.0	BioGRID+IntAct
STK11	STRADB	1.0	BioGRID+IntAct
STK11	TP53	1.0	BioGRID
SWSAP1	XRCC3	1.0	BioGRID
SWSAP1	ZSWIM7	1.0	BioGRID+IntAct
TASOR2	ZNF200	0.4	IntAct
TASOR2	ZNF597	0.64	IntAct
TNFRSF10B	TNFSF10	1.0	BioGRID+IntAct
TNFRSF10D	TNFSF10	0.62	IntAct
TP53	TP53BP1	1.0	BioGRID
TP53	ZNF398	1.0	BioGRID
ZNF398	ZNF783	1.0	BioGRID+IntAct
